"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"35.340","Martynas Andriuskevicius",19,19,0,1,19,"0"
"35.342","Don Anielak",24,24,0,1,24,"3"
"35.345","Ike Anigbogu",19,19,0,1,19,"1.2"
"35.348","Michael Ansley",22,24,2,4,22,"8.7"
"35.351","Chris Anstey",23,25,2,2,25,"6"
"35.353","Giannis Antetokounmpo",19,23,4,1,23,"26.9"
"35.355","Thanasis Antetokounmpo",23,23,0,1,23,"3"
"35.357","Carmelo Anthony",19,33,14,4,22,"28.9"
"35.360","Greg Anthony",24,34,10,7,28,"14"
"35.364","Joel Anthony",25,34,9,5,25,"3.5"
"35.367","Pero Antic",31,32,1,1,31,"7"
"35.369","OG Anunoby",20,20,0,1,20,"5.9"
"35.372","Keith Appling",23,23,0,1,23,"1.2"
"35.375","Rafael Araujo",24,26,2,2,24,"3.3"
"35.378","Stacey Arceneaux",25,25,0,1,25,"7.1"
"35.381","Robert Archibald",22,23,1,5,23,"2"
"35.384","Tiny Archibald",22,35,13,7,24,"Did Not Play (injury—achilles)"
"35.387","Ryan Arcidiacono",23,23,0,1,23,"2"
"35.390","Jim Ard",22,29,7,5,25,"6.4"
"35.393","Gilbert Arenas",20,30,10,5,24,"29.3"
"35.396","Trevor Ariza",19,32,13,7,24,"14.9"
"35.399","Paul Arizin",22,33,11,2,30,"Did Not Play (military service—U.S. Marine Corps)"
"35.402","Joe Arlauckas",22,22,0,1,22,"3.8"
"35.405","B.J. Armstrong",22,32,10,5,26,"14.8"
"35.408","Bob Armstrong",23,23,0,1,23,"1.5"
"35.411","Brandon Armstrong",21,23,2,1,23,"2.7"
"35.414","Curly Armstrong",30,32,2,1,30,"7.3"
"35.417","Darrell Armstrong",26,39,13,6,31,"16.2"
"35.420","Hilton Armstrong",22,29,7,9,24,"Did Not Play"
"35.423","Tate Armstrong",22,23,1,1,22,"4.3"
"35.426","Jesse Arnelle",22,22,0,1,22,"4.7"
"35.429","Jay Arnette",25,27,2,1,25,"3.8"
"35.432","Bob Arnzen",22,26,4,4,23,"Did Not Play"
"35.435","Carlos Arroyo",22,31,9,9,24,"Did Not Play (other pro league—Israel)"
"35.438","Darrell Arthur",20,29,9,3,22,"Did Not Play (injury—achilles)"
"35.441","John Arthurs",22,22,0,1,22,"3.2"
"35.444","Jamel Artis",25,25,0,1,25,"5.1"
"35.447","Omer Asik",24,31,7,4,26,"10.1"
"35.449","Vincent Askew",21,31,10,11,28,"Did Not Play (other pro league—Italy)"
"35.452","Keith Askins",23,31,8,1,28,"6.1"
"35.455","Don Asmonga",25,25,0,1,25,"0.7"
"35.458","Dick Atha",24,26,2,3,24,"Did Not Play"
"35.461","Chucky Atkins",25,35,10,9,30,"13.6"
"35.464","Al Attles",24,34,10,2,25,"11.3"
"35.467","Chet Aubuchon",30,30,0,1,30,"2.2"
"35.470","Stacey Augmon",23,37,14,7,25,"14.8"
"35.473","D.J. Augustin",21,30,9,9,26,"14.9"
"35.476","James Augustine",22,23,1,1,23,"1.6"
"35.479","Isaac Austin",22,32,10,11,28,"Did Not Play (other pro league—Turkey)"
"35.482","Johnny Austin",22,23,1,2,23,"7.7"
"35.485","Ken Austin",22,22,0,1,22,"1.7"
"35.488","Anthony Avent",23,30,7,8,23,"Did Not Play (other pro league—Greece)"
"35.491","Bird Averitt",21,25,4,5,23,"17.9"
"35.494","William Avery",20,22,2,1,21,"2.8"
"35.497","Dennis Awtrey",22,33,11,7,26,"9.9"
"35.500","Gustavo Ayon",26,28,2,5,26,"5.9"
"35.505","Kelenna Azubuike",23,28,5,3,25,"Did Not Play (injury—knee)"
"42.36","Chris Babb",23,23,0,1,23,"1.6"
"42.40","Luke Babbitt",21,28,7,5,26,"7"
"42.43","Milos Babic",22,23,1,2,23,"2"
"42.46","Johnny Bach",24,24,0,1,24,"3.5"
"42.49","Dwayne Bacon",22,22,0,1,22,"3.3"
"42.52","Henry Bacon",24,24,0,1,24,"3.5"
"42.55","Jim Baechtold",25,29,4,2,27,"13.9"
"42.58","Dalibor Bagaric",20,22,2,1,21,"3.7"
"42.60","John Bagley",22,33,11,5,27,"Did Not Play (injury—knee)"
"42.63","Carl Bailey",23,23,0,1,23,"2"
"42.66","Gus Bailey",23,28,5,4,26,"Did Not Play"
"42.69","James Bailey",22,30,8,6,25,"14.1"
"42.72","Thurl Bailey",22,37,15,5,26,"Did Not Play (other pro league—Italy)"
"42.75","Toby Bailey",23,24,1,1,24,"3.5"
"42.78","Cameron Bairstow",24,25,1,1,25,"1.9"
"42.81","Jimmie Baker",22,22,0,1,22,"1.2"
"42.84","LaMark Baker",29,29,0,1,29,"0"
"42.87","Maurice Baker",25,25,0,3,25,"0"
"42.90","Norm Baker",23,23,0,1,23,"0"
"42.92","Ron Baker",23,24,1,1,23,"4.1"
"42.95","Vin Baker",22,34,12,7,24,"21.1"
"42.98","Wade Baldwin",20,21,1,2,21,"5.4"
"42.101","Renaldo Balkman",22,27,5,3,24,"5"
"42.104","Cedric Ball",22,22,0,1,22,"1.1"
"42.107","Lonzo Ball",20,20,0,1,20,"10.2"
"42.110","Greg Ballard",23,34,11,4,27,"Did Not Play"
"42.113","Herschel Baltimore",25,25,0,1,25,"2.4"
"42.116","Gene Banks",22,27,5,2,23,"14.9"
"42.119","Marcus Banks",22,29,7,6,24,"12"
"42.122","Walker Banks",23,23,0,1,23,"2.6"
"42.125","Ken Bannister",24,30,6,4,25,"Did Not Play (other pro league—Israel)"
"42.129","Mike Bantom",22,30,8,6,25,"18.6"
"42.132","John Barber",29,29,0,1,29,"1.4"
"42.135","Leandro Barbosa",21,34,13,6,24,"18.1"
"42.137","Steve Bardo",23,27,4,4,27,"Did Not Play (other pro league—CBA)"
"42.140","J.J. Barea",22,33,11,2,33,"11.6"
"42.143","Andrea Bargnani",21,30,9,3,25,"21.4"
"42.145","Cliff Barker",29,31,2,1,29,"5.7"
"42.148","Tom Barker",21,23,2,6,21,"Did Not Play (other pro league—CBA)"
"42.151","Charles Barkley",21,36,15,3,24,"28.3"
"42.154","Erick Barkley",22,23,1,1,23,"3.1"
"42.157","Don Barksdale",28,31,3,2,29,"13.8"
"42.160","Harrison Barnes",20,25,5,2,24,"19.2"
"42.163","Harry Barnes",23,23,0,1,23,"2"
"42.166","Jim Barnes",23,29,6,6,24,"15.7"
"42.169","Marvin Barnes",22,27,5,6,23,"24.1"
"42.172","Matt Barnes",23,36,13,10,32,"10.3"
"42.175","Dick Barnett",23,37,14,4,29,"Did Not Play (other pro league—ABL)"
"42.178","Jim Barnett",22,32,10,8,26,"18.5"
"42.181","Nathaniel Barnett",23,23,0,1,23,"2.3"
"42.184","John Barnhill",24,33,9,7,24,"11.7"
"42.187","Norton Barnhill",23,23,0,1,23,"1"
"42.190","Leo Barnhorst",25,29,4,5,28,"13.6"
"42.193","John Barr",28,28,0,1,28,"5.1"
"42.196","Mike Barr",22,26,4,3,22,"9.1"
"42.199","Moe Barr",26,26,0,1,26,"2"
