"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"56.656","Tony Dumas",22,25,3,4,23,"11.6"
"56.659","Andy Duncan",26,28,2,2,26,"7.4"
"56.662","Tim Duncan",21,39,18,1,25,"25.5"
"56.665","Mike Dunleavy",22,35,13,6,29,"Did Not Play (retired)"
"56.668","Mike Dunleavy",22,36,14,7,27,"19.1"
"56.671","Kris Dunn",22,23,1,2,23,"13.4"
"56.674","Pat Dunn",26,26,0,1,26,"2.5"
"56.677","T.R. Dunn",22,35,13,3,26,"8.2"
"56.680","Ronald Dupree",23,30,7,8,23,"Did Not Play (other pro league—Germany)"
"56.683","Kevin Durant",19,29,10,3,25,"32"
"56.686","John Duren",22,24,2,2,24,"4.5"
"56.689","Jarrett Durham",22,22,0,1,22,"0"
"56.692","Pat Durham",25,27,2,3,27,"Did Not Play (other pro league—France)"
"56.695","Devin Durrant",24,25,1,2,24,"5.1"
"56.698","Ken Durrett",23,26,3,4,25,"4.8"
"56.701","Dennis DuVal",22,23,1,2,23,"2.8"
"56.704","Jack Dwan",27,27,0,1,27,"4.6"
"56.707","Craig Dykema",22,22,0,1,22,"1.3"
"56.710","Gene Dyker",23,23,0,1,23,"1.5"
"56.713","Jerome Dyson",24,24,0,1,24,"7.4"
"63.36","Ledell Eackles",22,31,9,6,23,"Did Not Play (other pro league—Israel)"
"63.39","Jim Eakins",22,31,9,9,26,"15"
"63.42","Acie Earl",23,26,3,4,25,"7.5"
"63.45","Ed Earle",26,26,0,1,26,"2"
"63.48","Cleanthony Early",23,24,1,1,23,"5.4"
"63.51","Penny Early",25,25,0,1,25,"0"
"63.53","Mark Eaton",26,36,10,1,28,"9.7"
"63.56","Jerry Eaves",23,27,4,4,23,"Did Not Play"
"63.59","Devin Ebanks",21,23,2,1,22,"4"
"63.62","Bill Ebben",22,22,0,1,22,"1.9"
"63.65","Al Eberhard",22,25,3,1,23,"9.3"
"63.68","Ndudi Ebi",19,20,1,1,20,"13.5"
"63.70","Roy Ebron",22,22,0,1,22,"6.2"
"63.73","Jarell Eddie",24,26,2,5,25,"4.8"
"63.76","Patrick Eddie",24,24,0,1,24,"1"
"63.80","Dike Eddleman",27,30,3,4,28,"15.3"
"63.83","Kenton Edelin",22,22,0,1,22,"1.1"
"63.86","Charles Edge",23,24,1,2,23,"9.6"
"63.89","Bobby Edmonds",26,28,2,2,26,"Did Not Play"
"63.92","Keith Edmonson",22,23,1,4,23,"8.7"
"63.95","Tyus Edney",22,27,5,5,22,"Did Not Play (other pro league—Lithuania)"
"63.98","Bill Edwards",22,22,0,1,22,"2"
"63.101","Blue Edwards",24,33,9,6,27,"16.9"
"63.104","Corsley Edwards",25,25,0,1,25,"2.7"
"63.107","Doug Edwards",23,25,2,2,25,"3"
"63.110","Franklin Edwards",22,28,6,3,26,"9"
"63.113","James Edwards",22,40,18,9,23,"16.7"
"63.116","Jay Edwards",21,21,0,1,21,"1.8"
"63.119","John Edwards",23,24,1,2,24,"1.8"
"63.122","Kevin Edwards",23,35,12,6,28,"Did Not Play"
"63.125","Shane Edwards",26,26,0,1,26,"1"
"63.128","Johnny Egan",23,33,10,8,25,"14.1"
"63.131","Lonnie Eggleston",30,30,0,1,30,"2"
"63.134","Bulbs Ehlers",24,25,1,1,25,"8.7"
"63.137","Craig Ehlo",22,35,13,4,28,"13.6"
"63.140","Rich Eichhorst",28,28,0,1,28,"2"
"63.143","Howard Eisley",22,33,11,9,30,"9.1"
"63.146","Obinna Ekezie",24,29,5,8,29,"Did Not Play (other pro league—Serbia)"
"63.149","Khalid El-Amin",21,21,0,1,21,"6.3"
"63.152","Don Eliason",28,28,0,1,28,"0"
"63.155","Mario Elie",27,37,10,7,33,"11.7"
"63.158","Ray Ellefson",26,28,2,3,28,"Did Not Play (other pro team—New York Celtics)"
"63.161","Henry Ellenson",20,21,1,1,21,"4"
"63.164","Wayne Ellington",22,30,8,8,30,"11.2"
"63.167","Bob Elliott",23,25,2,1,23,"8.8"
"63.170","Sean Elliott",21,32,11,2,27,"20"
"63.173","Bo Ellis",23,25,2,1,23,"4.3"
"63.176","Boo Ellis",22,23,1,1,22,"5.9"
"63.179","Dale Ellis",23,39,16,7,28,"27.5"
"63.182","Harold Ellis",23,27,4,3,23,"Did Not Play (other pro league—Greece)"
"63.185","Joe Ellis",22,29,7,2,25,"15.8"
"63.188","LaPhonso Ellis",22,32,10,4,26,"21.9"
"63.191","LeRon Ellis",22,26,4,5,24,"Did Not Play (other pro league—Spain)"
"63.195","Leroy Ellis",22,35,13,5,30,"15.9"
"63.198","Monta Ellis",20,31,11,5,24,"25.5"
"63.200","Pervis Ellison",22,33,11,5,24,"Did Not Play (injury)"
"63.203","Len Elmore",22,31,9,6,23,"14.6"
"63.206","Francisco Elson",27,35,8,7,30,"5"
"63.209","Darrell Elston",22,24,2,3,22,"Did Not Play"
"63.212","Melvin Ely",24,35,11,8,27,"Did Not Play"
"63.215","Joel Embiid",22,23,1,1,23,"22.9"
"63.218","Wayne Embry",21,31,10,3,24,"19.8"
"63.221","Andre Emmett",22,29,7,8,29,"Did Not Play (other pro league—Lithuania, D-League)"
"63.224","Ned Endress",28,28,0,1,28,"0.9"
"63.227","Chris Engler",23,28,5,7,25,"Did Not Play (other pro league—Italy)"
"63.231","Wayne Englestad",22,22,0,1,22,"2.5"
"63.234","A.J. English",23,24,1,1,24,"10.9"
"63.237","Alex English",23,37,14,5,32,"29.8"
"63.240","Claude English",24,24,0,1,24,"1.5"
"63.243","Jo Jo English",22,24,2,1,24,"5.4"
"63.246","Kim English",24,24,0,1,24,"2.9"
"63.249","Scott English",22,24,2,3,24,"6.9"
"63.252","Gene Englund",32,32,0,3,32,"8.2"
"63.255","James Ennis",24,27,3,5,25,"15.9"
"63.258","Tyler Ennis",20,23,3,5,22,"7.7"
"63.261","Ray Epps",22,22,0,1,22,"2"
"63.264","Semih Erden",24,25,1,3,24,"4.1"
"63.266","Bo Erias",25,25,0,1,25,"8.2"
"63.269","Keith Erickson",21,32,11,4,29,"14.6"
"63.272","Julius Erving",21,36,15,3,22,"31.9"
"63.275","Evan Eschmeyer",24,27,3,2,25,"3.4"
"63.278","Jack Eskridge",25,25,0,3,25,"3.2"
"63.281","Vincenzo Esposito",27,27,0,1,27,"3.9"
"63.283","Billy Evans",22,22,0,1,22,"1.9"
"63.286","Bob Evans",24,24,0,1,24,"3"
"63.289","Brian Evans",23,25,2,4,24,"4.7"
"63.292","Earl Evans",24,24,0,1,24,"4.4"
"63.296","Jawun Evans",21,21,0,1,21,"4.8"
"63.299","Jeremy Evans",23,30,7,4,26,"Did Not Play"
"63.302","Maurice Evans",23,33,10,10,32,"Did Not Play (other pro league—Italy)"
"63.306","Mike Evans",24,32,8,5,29,"10.1"
"63.309","Reggie Evans",22,34,12,8,25,"5.9"
"63.312","Tyreke Evans",20,28,8,4,20,"20.1"
"63.315","Daniel Ewing",22,23,1,1,22,"3.8"
"63.318","Patrick Ewing",23,39,16,3,27,"28.6"
"63.321","Patrick Ewing",26,26,0,1,26,"0.4"
"63.325","Dante Exum",19,22,3,2,22,"Did Not Play"
"63.327","Christian Eyenga",21,22,1,3,22,"8"
"63.329","Festus Ezeli",23,26,3,2,26,"Did Not Play"
"63.332","Johnny Ezersky",25,27,2,4,26,"10.3"
"70.36","Joe Fabel",33,33,0,1,33,"2.1"
"70.39","John Fairchild",22,26,4,7,24,"Did Not Play"
"70.42","Phil Farbman",24,24,0,3,24,"3.4"
"70.45","Kenneth Faried",22,28,6,1,24,"13.7"
"70.48","Dick Farley",22,26,4,3,26,"Did Not Play (military service—U.S. Air Force)"
"70.51","Jordan Farmar",20,30,10,6,25,"Did Not Play"
"70.54","Desmon Farmer",25,27,2,3,27,"Did Not Play"
"70.57","Jim Farmer",23,29,6,8,26,"Did Not Play (other pro league—CBA)"
"70.60","Mike Farmer",22,29,7,5,24,"Did Not Play (other pro league—ABL)"
"70.63","Tony Farmer",28,30,2,3,30,"Did Not Play (other pro league—Belgium)"
"70.67","Bob Faught",25,25,0,1,25,"6.7"
"70.70","Vitor Faverani",25,25,0,1,25,"4.4"
"70.72","Derrick Favors",19,26,7,3,24,"16.4"
"70.75","Nick Fazekas",22,22,0,3,22,"4.7"
"70.78","Dave Fedor",22,22,0,1,22,"0.9"
"70.81","Bob Feerick",27,30,3,1,27,"16.8"
"70.84","Butch Feher",22,22,0,1,22,"5.2"
"70.87","Jamie Feick",22,26,4,5,24,"6.8"
"70.90","Ron Feiereisel",24,24,0,1,24,"3"
"70.93","George Feigenbaum",20,23,3,3,23,"Did Not Play (other pro league—ABL)"
"70.96","Dave Feitl",24,29,5,5,25,"Did Not Play (other pro league—Italy)"
"70.99","Kay Felder",21,22,1,4,21,"4"
"70.102","Cristiano Felicio",23,25,2,1,25,"5.6"
"70.104","Carrick Felix",23,23,0,1,23,"2.7"
"70.107","Noel Felix",24,24,0,1,24,"1.5"
"70.110","Ray Felix",23,31,8,5,23,"17.6"
"70.113","Raymond Felton",21,33,12,8,26,"17.1"
"70.116","Jake Fendley",22,23,1,1,22,"3.2"
"70.119","Warren Fenley",24,24,0,1,24,"2.6"
"70.122","Desmond Ferguson",26,26,0,1,26,"1.9"
"70.126","Terrance Ferguson",19,19,0,1,19,"3.1"
"70.128","Rudy Fernandez",23,26,3,2,23,"10.4"
"70.130","Eric Fernsten",22,30,8,6,26,"Did Not Play (other pro league—Italy)"
"70.133","Al Ferrari",22,29,7,3,26,"Did Not Play (military service—U.S. Army)"
"70.136","Rolando Ferreira",24,24,0,1,24,"0.8"
"70.139","Duane Ferrell",23,33,10,3,26,"12.7"
"70.142","Yogi Ferrell",23,24,1,3,23,"11.3"
"70.145","Arnie Ferrin",23,25,2,1,23,"7.3"
"70.148","Bob Ferry",22,31,9,3,24,"13.9"
"70.151","Danny Ferry",24,36,12,2,29,"13.3"
"70.154","Kyrylo Fesenko",21,25,4,2,25,"2.7"
"70.156","Bobby Fields",22,22,0,1,22,"2.5"
"70.159","Kenny Fields",22,25,3,3,24,"8.7"
"70.162","Landry Fields",22,26,4,2,22,"9.7"
"70.165","Ron Filipek",23,23,0,1,23,"2.3"
"70.168","Greg Fillmore",23,24,1,1,23,"2.6"
"70.171","Larry Finch",22,23,1,2,23,"10.5"
"70.174","Hank Finkel",24,32,8,3,25,"11.6"
"70.177","Michael Finley",22,36,14,5,26,"22.6"
"70.180","Danny Finn",24,26,2,1,24,"11.9"
"70.183","Dorian Finney-Smith",23,24,1,1,24,"5.9"
"70.186","Matt Fish",25,27,2,6,26,"6"
"70.189","Derek Fisher",22,39,17,6,31,"13.3"
"70.192","Richard Fisher",23,23,0,3,23,"3.4"
"70.195","Gerald Fitch",23,23,0,1,23,"4.7"
"70.198","Bob Fitzgerald",23,25,2,5,23,"Did Not Play (other pro league—NBL)"
"70.201","Dick Fitzgerald",26,27,1,2,26,"4.6"
"70.204","Marcus Fizer",22,27,5,3,23,"12.3"
"70.207","Jerry Fleishman",24,30,6,2,30,"Did Not Play (other pro league—ABL)"
"70.210","Al Fleming",23,23,0,1,23,"2"
"70.213","Ed Fleming",22,26,4,2,22,"12.5"
"70.216","Vern Fleming",22,33,11,2,26,"14.3"
"70.219","Luis Flores",23,23,0,3,23,"3"
"70.223","Bruce Flowers",25,25,0,1,25,"4.9"
"70.226","Sleepy Floyd",22,34,12,5,27,"21.2"
"70.229","Jonny Flynn",20,22,2,4,20,"13.5"
"70.232","Mike Flynn",22,24,2,2,23,"8.2"
"70.235","Larry Fogle",22,22,0,1,22,"1"
"70.238","Jack Foley",23,23,0,3,23,"6.4"
"70.241","Isaac Fontaine",26,26,0,1,26,"1.8"
"70.244","Levi Fontaine",22,22,0,1,22,"3.8"
"70.247","Jeff Foote",24,24,0,1,24,"1"
"70.250","Bryn Forbes",23,24,1,1,24,"6.9"
"70.253","Gary Forbes",25,26,1,2,26,"6.6"
"70.257","Alphonso Ford",22,23,1,2,23,"3.8"
"70.260","Alton Ford",20,22,2,2,20,"3.1"
"70.263","Bob Ford",23,23,0,1,23,"1.6"
"70.266","Chris Ford",24,33,9,3,30,"15.6"
"70.269","Don Ford",23,29,6,3,23,"9.6"
"70.273","Jake Ford",24,25,1,1,24,"6.8"
"70.276","Phil Ford",22,28,6,5,24,"17.5"
"70.279","Sharrod Ford",24,24,0,1,24,"1.3"
"70.282","Sherell Ford",23,23,0,1,23,"3.2"
"70.285","T.J. Ford",20,28,8,5,25,"Did Not Play (injury—back)"
"70.288","Donnie Forman",23,23,0,1,23,"4.1"
"70.291","Bayard Forrest",23,24,1,1,23,"4.2"
"70.294","Joseph Forte",20,21,1,2,21,"1.4"
"70.297","Courtney Fortson",23,23,0,3,23,"4.3"
"70.300","Danny Fortson",21,30,9,5,24,"16.7"
"70.303","Fred Foster",22,30,8,7,23,"Did Not Play"
"70.306","Greg Foster",22,34,12,10,26,"6.1"
"70.310","Jeff Foster",23,35,12,1,28,"7"
"70.313","Jimmy Foster",23,24,1,2,23,"4.5"
"70.316","Rod Foster",23,25,2,1,24,"8.8"
"70.319","Antonis Fotsis",20,20,0,1,20,"3.9"
"70.321","Evan Fournier",20,25,5,2,25,"17.8"
"70.323","Larry Foust",22,33,11,4,26,NA
"70.326","Calvin Fowler",29,29,0,1,29,"4.4"
"70.329","Jerry Fowler",24,24,0,1,24,"1.5"
"70.332","Tremaine Fowlkes",25,28,3,3,26,"4.4"
"70.336","De'Aaron Fox",20,20,0,1,20,"11.6"
"70.339","Harold Fox",23,23,0,1,23,"3.1"
"70.342","Jim Fox",24,33,9,8,25,"13.8"
"70.345","Rick Fox",22,34,12,2,27,"15.4"
"70.348","Randy Foye",23,33,10,8,25,"16.3"
"70.351","Adonal Foyle",22,33,11,4,25,"5.9"
"70.354","Richie Frahm",26,30,4,7,28,"Did Not Play (other pro league—Italy)"
"70.357","Steve Francis",22,30,8,4,24,"21.6"
"70.360","Tellis Frank",22,28,6,4,24,"Did Not Play (other pro league—Italy)"
"70.363","Nat Frankel",33,33,0,1,33,"2.7"
"70.366","Jamaal Franklin",22,23,1,2,22,"1.9"
"70.369","William Franklin",23,26,3,3,23,"Did Not Play"
"70.372","Ronald Franz",22,27,5,6,23,"14.5"
"70.375","Tim Frazier",24,27,3,5,25,"13.1"
"70.378","Walt Frazier",22,34,12,2,26,"23.2"
"70.381","Will Frazier",23,26,3,4,25,"Did Not Play"
"70.384","Anthony Frederick",24,27,3,4,27,"Did Not Play (other pro league—Spain)"
"70.387","Jimmer Fredette",22,26,4,5,22,"7.6"
"70.390","World B. Free",22,34,12,6,26,"30.2"
"70.393","Joel Freeland",25,27,2,1,27,"3.5"
"70.395","Donnie Freeman",23,31,8,9,25,"27.4"
"70.398","Gary Freeman",22,22,0,3,22,"3.7"
"70.401","Rod Freeman",23,23,0,1,23,"3"
"70.404","Matt Freije",23,25,2,3,23,"Did Not Play (other pro league—CBA, Puerto Rico)"
"70.407","Frido Frey",25,25,0,1,25,"3.8"
"70.410","Larry Friend",22,22,0,1,22,"4"
"70.413","Pat Frink",23,23,0,1,23,"2.6"
"70.416","Jim Fritsche",22,23,1,4,22,"4.2"
"70.419","Channing Frye",22,34,12,8,27,"Did Not Play (medical condition—enlarged heart)"
"70.422","Bernie Fryer",24,25,1,4,25,"7.8"
"70.425","Frank Fucarino",26,26,0,1,26,"5"
"70.428","Herm Fuetsch",29,29,0,1,29,"2.6"
"70.430","Joe Fulks",25,32,7,1,27,"26"
"70.433","Carl Fuller",25,26,1,1,25,"5.9"
"70.436","Hiram Fuller",22,22,0,1,22,"2"
"70.439","Todd Fuller",22,26,4,4,22,"4.1"
"70.442","Tony Fuller",22,22,0,1,22,"4"
"70.445","Markelle Fultz",19,19,0,1,19,"7.1"
"70.448","Lawrence Funderburke",27,34,7,3,27,"Did Not Play (injury—achilles)"
"70.452","Terry Furlow",22,25,3,5,25,"16"
"77.36","Bill Gabor",27,32,5,1,28,"11.3"
"77.39","Dan Gadzuric",24,33,9,5,26,"7.3"
"77.42","Deng Gai",23,23,0,1,23,"0"
"77.45","Elmer Gainer",29,31,2,3,31,"Did Not Play (other pro league—NBL)"
"77.48","Bill Gaines",22,22,0,1,22,"2"
"77.51","Corey Gaines",23,29,6,5,25,"Did Not Play (other pro league—CBA)"
"77.55","David Gaines",25,25,0,1,25,"3.3"
"77.58","Reece Gaines",23,25,2,4,24,"2.6"
"77.61","Sundiata Gaines",23,25,2,5,24,"5.8"
"77.64","Mike Gale",21,31,10,7,26,"10.3"
"77.67","Chad Gallagher",24,24,0,1,24,"3"
"77.70","Harry Gallatin",21,30,9,2,29,"15"
"77.73","Danilo Gallinari",20,29,9,5,27,"Did Not Play (injury—ACL)"
"77.75","Langston Galloway",23,26,3,5,23,"11.8"
"77.78","Dave Gambee",21,32,11,9,24,NA
"77.81","Kevin Gamble",22,31,9,5,25,"15.6"
"77.84","Bob Gantt",24,24,0,1,24,"3.1"
"77.87","Jorge Garbajosa",29,30,1,1,29,"8.5"
"77.89","Ruben Garces",27,27,0,3,27,"1.6"
"77.92","Alex Garcia",23,24,1,2,24,"5.5"
"77.94","Francisco Garcia",24,33,9,3,27,"12.7"
"77.97","Chuck Gardner",23,23,0,1,23,"4.7"
"77.100","Earl Gardner",25,25,0,1,25,"1.8"
"77.103","Kenneth Gardner",26,26,0,1,26,"1.6"
"77.106","Thomas Gardner",22,23,1,2,22,"5.3"
"77.109","Vern Gardner",24,26,2,1,24,"13.5"
"77.112","Jack Garfinkel",28,30,2,1,29,"6.1"
"77.115","Patricio Garino",23,23,0,1,23,"0"
"77.118","Gary Garland",22,22,0,1,22,"4.3"
"77.121","Winston Garland",23,30,7,7,24,"Did Not Play (other pro league—Italy)"
"77.124","Dick Garmaker",23,28,5,3,24,"16.3"
"77.127","Bill Garner",27,27,0,1,27,"1.5"
"77.130","Chris Garner",22,25,3,4,25,"Did Not Play (other pro league—CBA)"
"77.133","Bill Garnett",22,25,3,2,24,"6.4"
"77.136","Kevin Garnett",19,39,20,4,27,"24.2"
"77.138","Marlon Garnett",23,23,0,1,23,"2.1"
"77.141","Calvin Garrett",24,27,3,2,24,"6.1"
"77.145","Dean Garrett",30,35,5,4,30,"8"
"77.148","Diante Garrett",24,25,1,2,25,"3.5"
"77.151","Dick Garrett",23,27,4,5,24,"12.9"
"77.154","Rowland Garrett",22,26,4,4,25,"10.9"
"77.157","Tom Garrick",22,25,3,5,23,"7"
"77.160","John Garris",24,24,0,1,24,"4"
"77.164","Kiwane Garris",23,25,2,3,23,"Did Not Play (other pro league—Germany)"
"77.167","Pat Garrity",22,31,9,2,25,"11.1"
"77.170","Jim Garvin",23,23,0,1,23,"0.3"
"77.173","Marc Gasol",24,33,9,1,32,"19.5"
"77.175","Pau Gasol",21,37,16,5,26,"20.8"
"77.177","Frank Gates",29,29,0,1,29,"4.5"
"77.180","Chris Gatling",24,34,10,9,29,"19.1"
"77.183","Kenny Gattison",22,31,9,4,27,"Did Not Play (injury)"
"77.186","Rudy Gay",20,31,11,5,28,"21.1"
"77.189","Ed Gayda",23,23,0,1,23,"3.7"
"77.192","Andrew Gaze",28,33,5,3,28,"Did Not Play (other pro league—Australia)"
"77.195","Michael Gbinije",24,24,0,1,24,"0.4"
"77.199","Reggie Geary",23,24,1,2,24,"2.5"
"77.202","Alonzo Gee",22,29,7,7,24,"10.6"
"77.205","Matt Geiger",23,32,9,3,29,"13.5"
"77.209","Mickael Gelabale",23,29,6,5,29,"Did Not Play (other pro league—France)"
"77.211","Devean George",22,32,10,3,26,"7.4"
"77.214","Jack George",25,32,7,3,27,"13.9"
"77.217","Paul George",20,27,7,2,26,"23.7"
"77.220","Tate George",22,26,4,3,23,"Did Not Play (other pro league—CBA)"
"77.223","Marcus Georges-Hunt",22,23,1,2,22,"2.8"
"77.226","Gus Gerard",21,27,6,8,21,"15.7"
"77.229","Derrick Gervin",26,27,1,1,26,"12"
"77.232","George Gervin",20,33,13,5,27,"33.1"
"77.235","Gorham Getchell",26,26,0,1,26,"0.3"
"77.238","John Gianelli",22,29,7,5,26,"10.9"
"77.241","Dick Gibbs",23,27,4,6,25,"10.8"
"77.244","Daniel Gibson",20,26,6,1,24,"11.6"
"77.247","Dee Gibson",26,26,0,1,26,"6.4"
"77.250","Hoot Gibson",28,28,0,3,28,"5.6"
"77.253","Jonathan Gibson",29,30,1,2,30,"8.5"
"77.256","Mel Gibson",23,23,0,1,23,"1.4"
"77.259","Mike Gibson",23,25,2,3,23,"Did Not Play (other pro league—Italy)"
"77.262","Taj Gibson",24,32,8,4,28,"13"
"77.265","J.R. Giddens",23,24,1,3,24,"4.1"
"77.269","Trey Gilder",25,25,0,1,25,"1"
"77.273","Eddie Gill",22,30,8,9,23,"Did Not Play (other pro league—Russia)"
"77.276","Kendall Gill",22,36,14,8,28,"21.8"
"77.279","Ben Gillery",23,23,0,1,23,"1"
"77.282","Jack Gillespie",22,22,0,1,22,"1"
"77.285","Gene Gillette",NA,NA,NA,1,NA,"0.6"
"77.287","Armen Gilliam",23,35,12,7,26,"19.8"
"77.290","Herm Gilliam",23,30,7,5,27,"14.1"
"77.293","Artis Gilmore",22,38,16,5,26,"24.6"
"77.297","Walt Gilmore",23,23,0,1,23,"2.1"
"77.300","Chuck Gilmur",24,28,4,2,25,"9.6"
"77.303","Manu Ginobili",25,40,15,1,30,"19.5"
"77.305","Gordan Giricek",25,30,5,6,25,"14.3"
"77.307","Jack Givens",22,23,1,1,22,"7.7"
"77.310","Mickell Gladness",25,25,0,3,25,"3"
"77.313","George Glamack",30,30,0,1,30,"9.3"
"77.316","Gerald Glass",23,28,5,7,24,"Did Not Play (other pro league—Italy)"
"77.320","Mike Glenn",22,31,9,4,29,"8.6"
"77.323","Normie Glick",22,22,0,1,22,"2"
"77.326","Georgi Glouchkov",26,26,0,1,26,"4.9"
"77.328","Clarence Glover",24,24,0,1,24,"2.6"
"77.331","Dion Glover",21,26,5,4,25,"10.1"
"77.334","Andreas Glyniadakis",25,25,0,1,25,"1.3"
"77.336","Mike Gminski",21,34,13,5,29,"17.2"
"77.339","Rudy Gobert",21,25,4,1,24,"14"
"77.341","Dan Godfread",23,24,1,2,23,"1.3"
"77.344","Tom Gola",23,33,10,5,27,"Did Not Play (military service—U.S. Army)"
"77.347","Ben Goldfaden",33,33,0,1,33,"1"
"77.350","Anthony Goldwire",24,34,10,13,26,"Did Not Play (other pro league—Spain)"
"77.353","Ryan Gomes",23,31,8,5,26,"Did Not Play"
"77.356","Glen Gondrezick",22,27,5,2,26,"8.3"
"77.359","Grant Gondrezick",24,26,2,3,24,"Did Not Play (other pro league—France)"
"77.362","Drew Gooden",21,34,13,11,28,"14.8"
"77.365","Gail Goodrich",22,35,13,3,28,"25.9"
"77.368","Steve Goodrich",24,25,1,2,24,"1.6"
"77.371","Archie Goodwin",19,22,3,4,21,"8.9"
"77.374","Pop Goodwin",26,27,1,1,26,"4.7"
"77.376","Aaron Gordon",19,22,3,1,22,"17.6"
"77.379","Ben Gordon",21,31,10,4,23,"21.4"
"77.382","Drew Gordon",24,24,0,1,24,"1.9"
"77.386","Eric Gordon",20,29,9,4,22,"22.3"
"77.389","Lancaster Gordon",22,25,3,1,24,"7.5"
"77.392","Paul Gordon",22,22,0,1,22,"0.8"
"77.395","Marcin Gortat",23,33,10,4,27,"15.4"
"77.397","Leo Gottlieb",26,27,1,1,26,"5.9"
"77.399","Andrew Goudelock",23,27,4,3,23,"Did Not Play"
"77.402","Gerald Govan",26,34,8,4,28,"12.5"
"77.405","Bato Govedarica",25,25,0,1,25,"3.3"
"77.408","Joe Graboski",19,32,13,8,29,"Did Not Play (other pro league—NPBL)"
"77.410","Ricky Grace",26,26,0,1,26,"1.3"
"77.414","Calvin Graham",23,23,0,1,23,"1.6"
"77.417","Greg Graham",23,27,4,5,25,"7"
"77.420","Joey Graham",23,28,5,3,26,"7.7"
"77.424","Mal Graham",22,23,1,1,22,"6"
"77.427","Orlando Graham",23,23,0,1,23,"1.1"
"77.431","Paul Graham",24,26,2,1,24,"10.1"
"77.434","Stephen Graham",23,28,5,8,26,"5.4"
"77.438","Treveon Graham",23,24,1,1,24,"4.3"
"77.441","Jim Grandholm",30,30,0,1,30,"3"
"77.445","Ron Grandison",24,31,7,10,27,"Did Not Play (other pro team—Athletes in Action)"
"77.449","Danny Granger",22,31,9,4,25,"25.8"
"77.453","Stewart Granger",22,25,3,4,22,"Did Not Play (other pro league—CBA)"
"77.456","Brian Grant",22,33,11,5,28,"15.2"
"77.459","Bud Grant",22,23,1,1,22,"2.6"
"77.462","Gary Grant",23,35,12,4,24,"13.1"
"77.465","Greg Grant",23,29,6,8,25,"Did Not Play (other pro league—CBA)"
"77.468","Harvey Grant",23,33,10,4,27,"18.6"
"77.472","Horace Grant",22,38,16,4,28,"15.1"
"77.475","Jerami Grant",20,23,3,3,21,"9.7"
"77.478","Jerian Grant",23,25,2,2,25,"8.4"
"77.481","Josh Grant",26,26,0,1,26,"3"
"77.484","Paul Grant",25,30,5,8,30,"Did Not Play (other pro league—Yugoslavia)"
"77.488","Travis Grant",23,26,3,5,25,"25.2"
"77.491","Don Grate",26,26,0,1,26,"2"
"77.494","Butch Graves",23,23,0,1,23,"1.3"
"77.497","Aaron Gray",23,29,6,5,23,"4.3"
"77.500","Devin Gray",24,27,3,6,24,"Did Not Play (other pro league—Spain)"
"77.503","Ed Gray",22,23,1,1,22,"7.6"
"77.507","Evric Gray",27,27,0,1,27,"2.6"
"77.510","Gary Gray",22,22,0,1,22,"2.4"
"77.513","Josh Gray",24,24,0,1,24,"6.4"
"77.516","Leonard Gray",23,25,2,3,24,"13.8"
"77.519","Stuart Gray",21,27,6,4,24,"3"
"77.522","Sylvester Gray",21,21,0,1,21,"8"
"77.525","Wyndol Gray",24,25,1,4,24,"6.4"
"77.528","Jeff Grayer",23,32,9,7,26,"Did Not Play (other pro league—CBA)"
"77.531","Bob Greacen",22,24,2,2,22,"2.6"
"77.534","A.C. Green",22,37,15,5,30,"14.7"
"77.537","Danny Green",22,30,8,2,27,"11.7"
"77.540","Devin Green",23,23,0,1,23,"0.9"
"77.543","Draymond Green",22,27,5,1,25,"14"
"77.546","Erick Green",23,24,1,3,23,"3.4"
"77.549","Gerald Green",20,32,12,10,28,"Did Not Play (other pro league—Russia)"
"77.551","JaMychal Green",24,27,3,3,27,"10.3"
"77.554","Jeff Green",21,31,10,9,28,"Did Not Play (illness—heart condition)"
"77.557","Johnny Green",26,39,13,7,29,"18.1"
"77.560","Ken Green",26,26,0,1,26,"4.4"
"77.563","Kenny Green",21,22,1,3,21,"5.5"
"77.566","Lamar Green",22,27,5,4,25,"6.7"
"77.569","Litterial Green",22,28,6,5,22,"Did Not Play (other pro league—CBA)"
"77.572","Luther Green",23,26,3,3,23,"Did Not Play"
"77.575","Mike Green",22,28,6,7,23,"17.4"
"77.578","Rickey Green",23,37,14,10,27,"Did Not Play (other pro league—CBA)"
"77.581","Sean Green",21,23,2,4,22,"4.8"
"77.585","Si Green",23,32,9,9,28,"Did Not Play (military service—U.S. Army)"
"77.588","Sidney Green",23,32,9,7,25,"13.5"
"77.591","Steve Green",22,25,3,4,22,"14.9"
"77.594","Taurean Green",21,21,0,3,21,"2.1"
"77.597","Tommie Green",22,22,0,1,22,"3.9"
"77.600","Willie Green",22,33,11,5,26,"12.4"
"77.603","Donte Greene",20,23,3,1,21,"8.5"
"77.606","Orien Greene",23,28,5,6,23,"Did Not Play (other pro league—Netherlands)"
"77.610","Jerry Greenspan",22,23,1,1,22,"4.9"
"77.613","Dave Greenwood",22,33,11,5,22,"16.3"
"77.616","Hal Greer",22,36,14,2,31,"24.1"
"77.619","Lynn Greer",27,27,0,1,27,"4.1"
