"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Khris Middleton","47:25",".742",".725",".350",".100","2.9","16.3","10.3","25.2","2.1","1.6","12.6","23.5","131","106"
"3","Giannis Antetokounmpo","44:58",".624",".524",".048",".762","6.0","27.0","17.6","30.5","3.3","0.0","12.5","33.3","120","101"
"4","John Henson","37:10",".509",".500",".000",".333","3.7","14.9","9.8","4.0","0.0","12.6","30.4","12.4","77","102"
"5","Tony Snell","32:58",".250",".250",".750",".000","0.0","10.0","5.5","0.0","0.0","2.4","20.0","7.1","40","112"
"6","Eric Bledsoe","32:46",".349",".333",".167",".167","0.0","13.5","7.4","19.3","0.0","0.0","28.0","25.5","60","113"
"8","Malcolm Brogdon","32:26",".576",".538",".462",".154","4.2","10.2","7.5","16.2","1.5","0.0","12.6","22.9","107","110"
"9","Jason Terry","18:12","1.500","1.500","1.000",".000","0.0","0.0","0.0","0.0","2.7","0.0","50.0","5.1","103","110"
"10","Jabari Parker","14:35",".200",".200",".200",".000","0.0","30.3","16.7","10.0","0.0","0.0","16.7","19.2","43","107"
"11","Tyler Zeller","4:28","1.000","1.000",".000",".000","0.0","0.0","0.0","0.0","11.1","0.0","0.0","10.4","200","91"
"12","Sterling Brown","0:02","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","117"
"13","Matthew Dellavedova","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Shabazz Muhammad","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Thon Maker","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","265",".572",".530",".253",".289","12.8","77.1","48.3","55.0","7.5","11.8","17.6","100.0","100.5","106.1"
