"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jayson Tatum","42:09","9","17",".529","2","6",".333","4","4","1.000","0","7","7","1","1","0","4","6","24","-17"
"3","Al Horford","40:11","7","12",".583","0","1",".000","3","3","1.000","0","4","4","3","1","0","0","2","17","-2"
"4","Jaylen Brown","38:56","5","18",".278","3","12",".250","0","0","","1","5","6","1","1","0","1","2","13","-11"
"5","Terry Rozier","36:16","2","14",".143","0","10",".000","0","0","","0","4","4","4","1","0","0","3","4","-6"
"6","Aron Baynes","18:48","0","0","","0","0","","3","4",".750","3","2","5","0","0","0","0","2","3","-7"
"8","Marcus Morris","32:50","5","14",".357","2","6",".333","2","4",".500","4","8","12","2","1","0","0","3","14","+1"
"9","Marcus Smart","30:50","1","10",".100","0","4",".000","2","4",".500","3","1","4","7","1","0","0","2","4","+2"
"10","Greg Monroe","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"11","Guerschon Yabusele","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","Abdel Nader","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Shane Larkin","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"14","Semi Ojeleye","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","240","29","85",".341","7","39",".179","14","19",".737","11","31","42","18","6","0","5","20","79",""
