"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","38:24","12","19",".632","0","3",".000","5","8",".625","0","8","8","11","2","1","2","2","29","+28"
"3","Kevin Love","30:25","8","13",".615","2","4",".500","5","6",".833","0","6","6","0","2","2","2","3","23","+31"
"4","George Hill","29:01","5","8",".625","0","1",".000","2","2","1.000","0","3","3","5","0","0","1","3","12","+24"
"5","J.R. Smith","28:30","6","6","1.000","3","3","1.000","0","0","","0","2","2","3","2","0","0","1","15","+22"
"6","Kyle Korver","27:29","6","8",".750","4","5",".800","0","0","","0","2","2","2","1","0","1","4","16","+26"
"8","Cedi Osman","20:31","2","5",".400","1","3",".333","0","0","","1","1","2","2","0","0","0","2","5","+9"
"9","Jordan Clarkson","18:59","2","8",".250","0","1",".000","1","1","1.000","1","2","3","2","2","0","4","2","5","+11"
"10","Jeff Green","16:06","3","7",".429","2","6",".333","0","0","","0","4","4","1","0","0","0","1","8","+6"
"11","Tristan Thompson","13:48","2","3",".667","0","0","","1","1","1.000","2","0","2","2","0","0","0","1","5","-2"
"12","Jose Calderon","7:38","0","0","","0","0","","2","2","1.000","0","1","1","1","0","0","0","1","2","+5"
"13","Larry Nance","5:40","4","4","1.000","0","0","","0","0","","2","1","3","0","0","2","0","1","8","+10"
"14","Ante Zizic","3:29","0","3",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","+5"
"15","Rodney Hood","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","50","84",".595","12","26",".462","16","20",".800","6","31","37","29","9","5","10","21","128",""
