"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","31:11","7","16",".438","3","6",".500","5","5","1.000","0","5","5","7","1","2","4","3","22","-24"
"3","J.R. Smith","27:46","3","9",".333","3","8",".375","0","0","","1","2","3","0","0","0","2","3","9","-10"
"4","Kyle Korver","24:47","2","4",".500","2","4",".500","0","0","","0","1","1","1","0","0","2","0","6","-11"
"5","Kevin Love","24:18","3","10",".300","1","4",".250","0","0","","0","7","7","0","0","0","2","1","7","-15"
"6","Jose Calderon","13:39","0","2",".000","0","2",".000","0","0","","0","1","1","1","1","0","0","1","0","-5"
"8","Rodney Hood","24:57","6","12",".500","0","2",".000","0","0","","0","3","3","1","0","0","2","4","12","-27"
"9","Jordan Clarkson","24:14","2","8",".250","0","4",".000","1","2",".500","1","0","1","4","0","0","0","0","5","-19"
"10","Jeff Green","24:11","4","9",".444","3","6",".500","2","4",".500","1","1","2","1","0","0","0","1","13","-21"
"11","Larry Nance","18:40","3","3","1.000","0","0","","0","1",".000","2","4","6","0","1","0","0","2","6","-13"
"12","Tristan Thompson","14:03","1","2",".500","0","0","","1","2",".500","2","2","4","1","0","0","1","0","3","-16"
"13","Cedi Osman","8:05","1","3",".333","0","2",".000","0","2",".000","0","0","0","0","1","0","0","2","2","-4"
"14","Ante Zizic","4:09","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","0","2","-5"
"15","Kendrick Perkins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","33","79",".418","12","38",".316","9","16",".563","7","26","33","16","4","2","14","17","87",""
