"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","DeMar DeRozan","37:02","14","23",".609","3","6",".500","6","8",".750","1","4","5","4","0","0","2","1","37","+23"
"3","Kyle Lowry","35:56","3","10",".300","1","8",".125","6","7",".857","0","7","7","12","1","0","3","3","13","+27"
"4","Serge Ibaka","31:22","4","11",".364","1","3",".333","1","1","1.000","1","8","9","2","0","3","0","1","10","+32"
"5","Jonas Valanciunas","23:07","8","11",".727","1","2",".500","2","3",".667","1","13","14","1","0","2","3","2","19","+27"
"6","OG Anunoby","18:39","2","3",".667","1","2",".500","4","5",".800","2","1","3","0","1","1","0","2","9","+5"
"8","Delon Wright","26:59","3","9",".333","1","4",".250","4","4","1.000","0","1","1","3","3","2","0","1","11","0"
"9","C.J. Miles","22:12","5","7",".714","4","6",".667","4","4","1.000","0","2","2","0","0","0","1","4","18","-1"
"10","Jakob Poeltl","14:19","2","2","1.000","0","0","","0","0","","2","2","4","0","0","0","0","3","4","-10"
"11","Pascal Siakam","11:12","3","5",".600","0","0","","0","1",".000","2","1","3","1","0","0","2","5","6","-9"
"12","Lorenzo Brown","6:34","1","2",".500","1","2",".500","0","0","","0","0","0","1","0","0","0","0","3","-12"
"13","Lucas Nogueira","5:08","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","2","5","0","-19"
"14","Norman Powell","4:41","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-7"
"15","Fred VanVleet","2:49","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1"
"16","Team Totals","240","45","87",".517","13","35",".371","27","33",".818","9","39","48","24","5","8","14","27","130",""
