"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Joe Ingles","40:36","6","13",".462","2","7",".286","1","2",".500","0","8","8","4","1","0","2","3","15","-7"
"3","Donovan Mitchell","38:04","8","24",".333","2","7",".286","7","7","1.000","1","8","9","2","4","0","3","6","25","-6"
"4","Jae Crowder","33:59","1","11",".091","1","7",".143","2","2","1.000","0","5","5","2","1","2","0","2","5","-9"
"5","Rudy Gobert","32:17","5","7",".714","0","0","","1","2",".500","4","6","10","0","1","3","3","1","11","-27"
"6","Royce O'Neale","28:25","3","7",".429","0","3",".000","2","2","1.000","0","5","5","1","0","0","4","3","8","-11"
"8","Raul Neto","17:37","3","10",".300","2","3",".667","1","1","1.000","1","1","2","2","0","0","2","1","9","+3"
"9","Derrick Favors","15:43","2","2","1.000","0","0","","1","2",".500","1","0","1","1","1","0","1","1","5","+14"
"10","Jonas Jerebko","14:01","0","1",".000","0","1",".000","0","0","","0","1","1","2","0","0","0","1","0","-4"
"11","Dante Exum","10:10","4","6",".667","0","1",".000","1","2",".500","0","0","0","1","0","0","0","3","9","-9"
"12","Alec Burks","9:08","0","2",".000","0","0","","0","0","","1","3","4","1","0","0","1","0","0","-9"
"13","Ekpe Udoh","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tony Bradley","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","David Stockton","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","32","83",".386","7","29",".241","16","20",".800","8","37","45","16","8","5","16","21","87",""
