"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Draymond Green","37:22","3","9",".333","2","4",".500","0","0","","1","8","9","9","5","2","3","3","8","+28"
"3","Klay Thompson","36:31","5","13",".385","1","6",".167","2","2","1.000","0","7","7","0","0","0","1","2","13","+23"
"4","Kevin Durant","36:19","15","27",".556","2","5",".400","6","6","1.000","1","8","9","5","1","1","2","1","38","+23"
"5","Stephen Curry","31:53","8","17",".471","4","9",".444","3","3","1.000","0","1","1","2","0","0","2","1","23","+21"
"6","Andre Iguodala","29:18","2","7",".286","2","5",".400","0","0","","1","6","7","6","3","1","0","3","6","+21"
"8","Kevon Looney","20:33","3","4",".750","0","0","","1","2",".500","1","2","3","1","0","0","1","3","7","-2"
"9","Quinn Cook","17:12","5","8",".625","0","3",".000","2","3",".667","0","4","4","0","1","0","1","1","12","+5"
"10","Shaun Livingston","11:46","2","5",".400","0","0","","0","0","","0","1","1","2","0","0","0","2","4","+3"
"11","Jordan Bell","4:31","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","1","0","+3"
"12","Nick Young","4:09","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+3"
"13","David West","3:56","2","2","1.000","0","0","","0","0","","0","0","0","2","0","1","0","2","4","-4"
"14","Zaza Pachulia","3:26","0","0","","0","0","","1","2",".500","1","0","1","0","1","0","1","1","1","+3"
"15","JaVale McGee","3:04","1","2",".500","0","1",".000","0","0","","0","2","2","0","0","0","0","0","2","+3"
"16","Team Totals","240","46","95",".484","11","33",".333","15","18",".833","5","40","45","28","11","5","11","20","118",""
