"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Goran Dragic","31:09","4","13",".308","3","4",".750","4","5",".800","3","2","5","4","0","0","4","5","15","-15"
"3","Josh Richardson","27:21","1","7",".143","0","4",".000","2","2","1.000","0","4","4","4","2","0","1","3","4","-30"
"4","James Johnson","24:44","5","9",".556","2","2","1.000","1","2",".500","0","3","3","4","0","0","2","1","13","-13"
"5","Tyler Johnson","18:14","2","6",".333","1","3",".333","4","4","1.000","0","3","3","0","1","0","1","2","9","-15"
"6","Hassan Whiteside","12:26","1","4",".250","0","0","","0","0","","2","3","5","1","0","2","2","1","2","-16"
"8","Justise Winslow","31:10","4","8",".500","0","2",".000","1","3",".333","1","6","7","5","1","1","2","2","9","-4"
"9","Kelly Olynyk","30:57","9","13",".692","4","5",".800","4","7",".571","3","4","7","2","0","1","2","5","26","-3"
"10","Bam Adebayo","20:31","2","3",".667","0","0","","2","4",".500","0","1","1","0","0","1","1","1","6","-15"
"11","Dwyane Wade","19:29","4","7",".571","0","0","","3","4",".750","0","4","4","4","0","0","1","3","11","-9"
"12","Wayne Ellington","19:15","2","5",".400","2","5",".400","0","0","","0","2","2","1","0","1","0","2","6","-5"
"13","Rodney McGruder","2:22","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","-5"
"14","Luke Babbitt","2:22","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-5"
"15","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","35","77",".455","12","26",".462","21","31",".677","9","32","41","25","4","6","16","25","103",""
