"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Giannis Antetokounmpo","41:27","5","10",".500","0","0","","6","9",".667","0","10","10","9","2","2","2","4","16","-2"
"3","Khris Middleton","41:03","9","21",".429","3","6",".500","2","3",".667","0","3","3","2","0","0","1","4","23","+3"
"4","Eric Bledsoe","34:22","5","15",".333","2","5",".400","4","6",".667","1","4","5","3","3","1","1","1","16","0"
"5","Malcolm Brogdon","18:34","1","5",".200","0","2",".000","0","0","","0","1","1","3","0","0","2","1","2","-4"
"6","Tyler Zeller","10:29","0","0","","0","0","","0","0","","1","2","3","1","1","0","0","1","0","-6"
"8","Jabari Parker","32:26","7","15",".467","2","7",".286","1","1","1.000","4","4","8","2","1","0","2","3","17","-1"
"9","Thon Maker","23:29","1","5",".200","0","3",".000","0","0","","0","2","2","0","0","0","0","6","2","-4"
"10","Matthew Dellavedova","15:34","0","2",".000","0","2",".000","0","0","","1","0","1","1","1","0","2","1","0","-7"
"11","Tony Snell","12:50","0","5",".000","0","5",".000","0","0","","0","1","1","0","1","0","0","1","0","-12"
"12","Shabazz Muhammad","9:46","4","9",".444","2","3",".667","1","1","1.000","0","3","3","0","1","0","1","1","11","+8"
"13","Brandon Jennings","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Jason Terry","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Sterling Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","32","87",".368","9","33",".273","14","20",".700","7","30","37","21","10","3","11","23","87",""
