"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Patty Mills","26:40","2","5",".400","1","2",".500","0","0","","0","0","0","3","0","0","1","1","5","-15"
"3","LaMarcus Aldridge","24:22","5","12",".417","0","0","","4","4","1.000","0","2","2","1","1","1","2","3","14","-13"
"4","Dejounte Murray","22:44","3","6",".500","0","0","","2","2","1.000","0","5","5","3","1","1","2","5","8","+3"
"5","Danny Green","21:36","2","5",".400","2","4",".500","0","0","","0","2","2","0","0","1","1","3","6","-8"
"6","Kyle Anderson","10:55","0","2",".000","0","0","","0","0","","0","3","3","1","0","0","0","2","0","-15"
"8","Bryn Forbes","24:38","4","8",".500","1","4",".250","5","7",".714","1","2","3","1","0","0","0","0","14","-7"
"9","Rudy Gay","21:57","5","12",".417","2","4",".500","3","4",".750","2","4","6","2","2","0","1","2","15","-10"
"10","Pau Gasol","19:50","3","5",".600","0","0","","0","0","","0","2","2","4","0","0","2","0","6","-6"
"11","Davis Bertans","18:19","0","4",".000","0","3",".000","4","5",".800","0","2","2","1","1","0","0","3","4","-4"
"12","Manu Ginobili","16:42","3","6",".500","2","2","1.000","1","2",".500","0","3","3","1","3","0","3","1","9","-15"
"13","Tony Parker","13:21","1","8",".125","0","1",".000","0","0","","0","1","1","1","0","0","0","0","2","-17"
"14","Derrick White","13:04","3","6",".500","1","2",".500","0","0","","0","0","0","1","1","1","0","0","7","-1"
"15","Joffrey Lauvergne","5:52","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","2","+3"
"16","Team Totals","240","32","80",".400","9","22",".409","19","24",".792","3","27","30","19","9","4","12","20","92",""
