"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","DeMar DeRozan","35:06",".503",".478",".217",".087","0.0","0.0","0.0","14.2","0.0","0.0","4.0","35.1","101","144"
"3","Kyle Lowry","33:47",".861",".850",".600",".500","0.0","16.2","8.2","33.4","0.0","0.0","24.7","23.8","136","142"
"4","Jonas Valanciunas","26:51",".727",".727",".091",".000","10.5","51.1","31.1","12.0","0.0","3.1","8.3","22.2","138","136"
"5","OG Anunoby","23:09",".500",".500",".600",".000","0.0","0.0","0.0","5.2","2.3","0.0","16.7","12.8","87","139"
"6","Serge Ibaka","12:12",".170",".000",".200",".400","34.7","33.7","34.2","8.9","0.0","0.0","14.5","28.0","73","141"
"8","Fred VanVleet","23:55",".700",".700",".700",".000","0.0","0.0","0.0","23.6","0.0","0.0","0.0","20.7","145","144"
"9","Delon Wright","23:39",".625",".625",".500",".000","0.0","23.2","11.8","20.3","0.0","0.0","33.3","12.6","103","142"
"10","C.J. Miles","20:04",".800",".800",".400",".000","0.0","0.0","0.0","6.5","0.0","4.1","0.0","12.4","154","139"
"11","Pascal Siakam","18:15","1.000","1.000",".000",".000","0.0","45.1","22.9","0.0","0.0","0.0","50.0","5.4","79","140"
"12","Jakob Poeltl","14:42","1.031","1.000",".000",".667","0.0","18.7","9.5","9.5","3.6","0.0","0.0","13.1","216","135"
"13","Norman Powell","3:12",".500",".500",".500",".000","0.0","42.9","21.7","0.0","0.0","0.0","0.0","31.0","94","141"
"14","Lorenzo Brown","2:34",".750",".750","1.000",".000","0.0","0.0","0.0","73.9","0.0","0.0","0.0","38.6","161","144"
"15","Lucas Nogueira","2:34","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","144"
"16","Team Totals","240",".641",".617",".370",".136","14.7","85.7","50.7","59.1","2.2","3.4","11.4","100.0","121.2","141.0"
