"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","DeMar DeRozan","35:06","11","23",".478","0","5",".000","2","2","1.000","0","0","0","3","0","0","1","5","24","-22"
"3","Kyle Lowry","33:47","7","10",".700","3","6",".500","4","5",".800","0","4","4","8","0","0","4","5","21","-18"
"4","Jonas Valanciunas","26:51","8","11",".727","0","1",".000","0","0","","2","10","12","2","0","1","1","2","16","-11"
"5","OG Anunoby","23:09","2","5",".400","1","3",".333","0","0","","0","0","0","1","1","0","1","3","5","-10"
"6","Serge Ibaka","12:12","0","5",".000","0","1",".000","2","2","1.000","3","3","6","1","0","0","1","0","2","-10"
"8","Fred VanVleet","23:55","5","10",".500","4","7",".571","0","0","","0","0","0","4","0","0","0","0","14","+2"
"9","Delon Wright","23:39","2","4",".500","1","2",".500","0","0","","0","4","4","4","0","0","2","1","5","-5"
"10","C.J. Miles","20:04","3","5",".600","2","2","1.000","0","0","","0","0","0","1","0","1","0","3","8","-12"
"11","Pascal Siakam","18:15","1","1","1.000","0","0","","0","0","","0","6","6","0","0","0","1","4","2","-1"
"12","Jakob Poeltl","14:42","3","3","1.000","0","0","","2","2","1.000","0","2","2","1","1","0","0","1","8","-7"
"13","Norman Powell","3:12","1","2",".500","0","1",".000","0","0","","0","1","1","0","0","0","0","0","2","+4"
"14","Lorenzo Brown","2:34","1","2",".500","1","2",".500","0","0","","0","0","0","1","0","0","0","0","3","0"
"15","Lucas Nogueira","2:34","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"16","Team Totals","240","44","81",".543","12","30",".400","10","11",".909","5","30","35","26","2","2","11","24","110",""
