"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Draymond Green","37:21","3","9",".333","1","4",".250","3","3","1.000","2","15","17","6","2","1","1","4","10","+26"
"3","Klay Thompson","35:29","6","14",".429","1","3",".333","0","0","","0","1","1","3","1","2","3","1","13","+21"
"4","Kevin Durant","35:13","9","19",".474","3","8",".375","4","4","1.000","2","4","6","6","1","0","0","0","25","+27"
"5","Stephen Curry","34:21","13","23",".565","5","12",".417","4","4","1.000","2","4","6","1","0","1","1","2","35","+24"
"6","Andre Iguodala","26:33","4","6",".667","0","0","","2","2","1.000","1","2","3","3","3","1","0","0","10","+26"
"8","Nick Young","18:00","1","3",".333","1","3",".333","2","2","1.000","0","3","3","0","0","0","0","1","5","+20"
"9","Shaun Livingston","15:49","4","9",".444","0","0","","1","2",".500","2","2","4","1","1","0","1","1","9","+10"
"10","Kevon Looney","15:46","2","3",".667","0","0","","0","0","","2","3","5","0","0","2","0","5","4","+12"
"11","Jordan Bell","10:09","0","0","","0","0","","0","0","","0","3","3","0","1","0","1","2","0","+13"
"12","Quinn Cook","5:11","4","4","1.000","2","2","1.000","1","1","1.000","0","0","0","0","2","0","1","0","11","+12"
"13","JaVale McGee","3:04","2","2","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","4","+7"
"14","Zaza Pachulia","3:04","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+7"
"15","David West","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","48","92",".522","13","32",".406","17","18",".944","11","38","49","20","11","7","8","16","126",""
