"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Stephen Curry","38:44","12","27",".444","7","15",".467","6","6","1.000","2","4","6","4","3","3","2","4","37","+18"
"3","Draymond Green","38:37","4","8",".500","1","5",".200","0","0","","1","2","3","9","1","3","1","5","9","+15"
"4","Kevin Durant","37:38","7","17",".412","0","3",".000","6","6","1.000","1","11","12","10","1","3","2","3","20","+30"
"5","Klay Thompson","28:29","4","10",".400","2","5",".400","0","0","","0","6","6","0","0","0","2","3","10","+19"
"6","JaVale McGee","16:28","3","4",".750","0","0","","0","0","","1","2","3","0","0","1","0","1","6","+21"
"8","Andre Iguodala","22:41","4","8",".500","3","6",".500","0","0","","1","1","2","0","2","2","0","3","11","+11"
"9","Jordan Bell","18:24","2","3",".667","0","0","","0","0","","2","2","4","1","0","1","0","0","4","+4"
"10","Shaun Livingston","14:04","0","1",".000","0","0","","2","2","1.000","0","4","4","0","0","0","0","2","2","+2"
"11","Nick Young","8:58","1","4",".250","1","4",".250","0","0","","0","1","1","0","0","0","0","1","3","+7"
"12","David West","7:36","1","1","1.000","0","0","","0","0","","0","0","0","1","0","0","0","2","2","-6"
"13","Kevon Looney","2:47","1","2",".500","0","0","","0","0","","1","0","1","0","0","0","0","0","2","-2"
"14","Zaza Pachulia","2:47","0","1",".000","0","0","","2","2","1.000","0","1","1","0","0","0","1","0","2","-2"
"15","Patrick McCaw","2:47","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","0","0","-2"
"16","Team Totals","240","39","86",".453","14","38",".368","16","16","1.000","10","34","44","25","7","13","8","24","108",""
