"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Terry Rozier","39:45","10","16",".625","6","10",".600","2","2","1.000","0","3","3","7","2","0","1","3","28","-12"
"3","Jayson Tatum","39:04","7","13",".538","1","3",".333","0","0","","0","3","3","2","1","0","2","3","15","-8"
"4","Al Horford","37:20","2","8",".250","0","2",".000","2","4",".500","2","7","9","4","0","1","2","3","6","-14"
"5","Jaylen Brown","33:58","11","18",".611","2","5",".400","3","6",".500","1","2","3","1","0","0","0","3","27","-11"
"6","Aron Baynes","18:56","0","1",".000","0","1",".000","0","0","","0","4","4","2","0","0","1","2","0","-11"
"8","Marcus Smart","32:32","4","7",".571","1","4",".250","1","2",".500","1","2","3","8","1","1","3","1","10","-4"
"9","Marcus Morris","30:00","3","10",".300","2","3",".667","2","4",".500","1","1","2","1","0","0","2","2","10","-7"
"10","Greg Monroe","5:32","1","1","1.000","0","0","","0","0","","0","2","2","0","1","0","2","1","2","+8"
"11","Semi Ojeleye","0:58","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","0","0","1","+3"
"12","Abdel Nader","0:58","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+3"
"13","Guerschon Yabusele","0:58","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","+3"
"14","Shane Larkin","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Team Totals","240","38","74",".514","12","28",".429","11","20",".550","5","26","31","25","5","2","13","18","99",""
