"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LaMarcus Aldridge","36:33","6","10",".600","0","0","","6","7",".857","4","6","10","4","0","0","2","0","18","-20"
"3","Patty Mills","33:15","6","13",".462","2","7",".286","0","0","","0","2","2","2","2","1","3","3","14","-19"
"4","Rudy Gay","31:03","4","11",".364","1","5",".200","2","4",".500","1","5","6","2","1","0","0","4","11","-4"
"5","Danny Green","20:02","4","10",".400","1","4",".250","0","0","","1","3","4","0","0","1","0","0","9","0"
"6","Dejounte Murray","15:50","3","7",".429","1","1","1.000","2","2","1.000","1","1","2","4","1","0","1","2","9","+3"
"8","Davis Bertans","20:29","1","3",".333","1","3",".333","2","2","1.000","0","4","4","2","0","0","0","3","5","+1"
"9","Pau Gasol","18:28","3","5",".600","0","2",".000","0","0","","0","7","7","0","0","1","2","3","6","-9"
"10","Kyle Anderson","17:05","3","7",".429","0","2",".000","0","0","","2","0","2","2","1","0","0","2","6","-10"
"11","Manu Ginobili","16:57","0","5",".000","0","4",".000","0","0","","1","1","2","0","2","1","1","3","0","-10"
"12","Tony Parker","16:33","6","12",".500","0","2",".000","4","5",".800","0","1","1","2","1","0","1","0","16","-6"
"13","Bryn Forbes","8:41","1","4",".250","1","3",".333","0","0","","0","0","0","0","0","0","0","1","3","-1"
"14","Brandon Paul","2:32","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","+5"
"15","Derrick White","2:32","0","0","","0","0","","0","0","","0","0","0","0","0","1","0","0","0","+5"
"16","Team Totals","240","37","87",".425","7","33",".212","16","20",".800","10","31","41","19","8","5","10","21","97",""
